condition_str,subj_id,num,type,error,correctmove,latency,omit,oreas,timesincelast,direction,destination,last_distractor_offset,time_since_last_distractor
AD,CD2,78.0,0.0,0.0,-1.0,0.0,1.0,4.0,0.0,362.0,1513.0,0.0,0.0
AD,CD2,79.0,1.0,0.0,1.0,609.0,0.0,0.0,240.0,353.0,986.0,-880.0,240.0
AD,CD2,80.0,0.0,0.0,1.0,68.0,0.0,0.0,540.0,27.0,1540.0,0.0,0.0
AD,CD2,81.0,1.0,0.0,-1.0,0.0,1.0,13.0,0.0,409.0,1395.0,0.0,0.0
AD,CD2,82.0,0.0,1.0,0.0,415.0,0.0,0.0,486.0,-717.0,823.0,0.0,0.0
AD,CD2,83.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,38.0,861.0,0.0,0.0
AD,CD2,84.0,1.0,0.0,1.0,455.0,0.0,0.0,580.0,43.0,1438.0,534.0,580.0
AD,CD2,85.0,0.0,0.0,1.0,435.0,1.0,19.0,20.0,150.0,1011.0,0.0,0.0
AD,CD2,86.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,328.0,1339.0,0.0,0.0
AD,CD2,87.0,0.0,0.0,1.0,1205.0,1.0,15.0,511.0,-538.0,801.0,0.0,0.0
AD,CD2,88.0,1.0,0.0,1.0,440.0,0.0,0.0,765.0,266.0,1704.0,637.0,765.0
AD,CD2,89.0,0.0,0.0,1.0,0.0,1.0,13.0,0.0,903.0,1704.0,0.0,0.0
AD,CD2,90.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,-721.0,983.0,0.0,0.0
AD,CD2,91.0,1.0,0.0,1.0,755.0,0.0,0.0,275.0,-370.0,1334.0,721.0,275.0
AD,CD2,92.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,-596.0,387.0,0.0,0.0
AD,CD2,93.0,1.0,0.0,1.0,371.0,0.0,0.0,849.0,-369.0,965.0,947.0,849.0
AD,CD2,94.0,0.0,0.0,1.0,300.0,0.0,0.0,70.0,1180.0,1567.0,0.0,0.0
AD,CD2,95.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,-106.0,1461.0,0.0,0.0
AD,CD2,96.0,1.0,0.0,-1.0,0.0,1.0,13.0,0.0,-463.0,502.0,0.0,0.0
AD,CD2,97.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,-449.0,1012.0,0.0,0.0
AD,CD2,98.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,170.0,1182.0,0.0,0.0
AD,CD2,99.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,-757.0,425.0,0.0,0.0
AD,CD2,100.0,1.0,0.0,-1.0,0.0,1.0,13.0,0.0,14.0,516.0,0.0,0.0
AD,CD2,101.0,0.0,0.0,1.0,109.0,0.0,0.0,171.0,966.0,1391.0,0.0,0.0
AD,CD2,102.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,-173.0,1218.0,0.0,0.0
AD,CD2,103.0,0.0,0.0,1.0,1734.0,0.0,0.0,426.0,-73.0,1145.0,0.0,0.0
AD,CD2,104.0,0.0,1.0,0.0,305.0,0.0,0.0,1429.0,-923.0,222.0,0.0,0.0
AD,CD2,105.0,1.0,0.0,-1.0,0.0,1.0,13.0,0.0,413.0,929.0,0.0,0.0
AD,CD2,106.0,0.0,0.0,1.0,214.0,0.0,0.0,150.0,612.0,834.0,0.0,0.0
AD,CD2,107.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,894.0,1728.0,0.0,0.0
AD,CD2,108.0,1.0,0.0,1.0,448.0,0.0,0.0,401.0,109.0,1038.0,-799.0,401.0
AD,CD2,109.0,0.0,0.0,1.0,314.0,0.0,0.0,135.0,-1454.0,274.0,0.0,0.0
AD,CD2,110.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,733.0,1007.0,0.0,0.0
AD,CD2,111.0,0.0,0.0,-1.0,0.0,1.0,4.0,0.0,-758.0,249.0,0.0,0.0
AD,CD2,112.0,1.0,0.0,1.0,394.0,0.0,0.0,212.0,411.0,1449.0,789.0,212.0
AD,CD2,113.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,354.0,603.0,0.0,0.0
AD,CD2,114.0,0.0,0.0,1.0,1911.0,1.0,15.0,624.0,662.0,1265.0,0.0,0.0
AD,CD2,115.0,0.0,0.0,1.0,1166.0,1.0,15.0,1180.0,-115.0,1150.0,0.0,0.0
AD,CD2,116.0,0.0,0.0,1.0,0.0,1.0,16.0,585.0,504.0,1654.0,0.0,0.0
AD,CD2,117.0,1.0,0.0,1.0,460.0,0.0,0.0,165.0,274.0,1723.0,-205.0,165.0
AD,CD2,118.0,0.0,0.0,1.0,0.0,1.0,13.0,0.0,-512.0,1142.0,0.0,0.0
AD,CD2,119.0,0.0,0.0,-1.0,0.0,1.0,3.0,0.0,583.0,1725.0,0.0,0.0
AD,CD2,120.0,1.0,0.0,1.0,386.0,0.0,0.0,855.0,-164.0,1559.0,-2.0,855.0
AD,CD2,121.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,-682.0,1043.0,0.0,0.0
AD,CD2,122.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,265.0,1308.0,0.0,0.0
AD,CD2,123.0,1.0,0.0,-1.0,0.0,1.0,13.0,0.0,-68.0,1491.0,0.0,0.0
AD,CD2,124.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,-146.0,1162.0,0.0,0.0
AD,CD2,125.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,-112.0,1050.0,0.0,0.0
AD,CD2,126.0,1.0,0.0,1.0,336.0,0.0,0.0,634.0,-311.0,1180.0,441.0,634.0
AD,CD2,127.0,0.0,0.0,1.0,280.0,0.0,0.0,56.0,-733.0,317.0,0.0,0.0
AD,CD2,128.0,0.0,0.0,1.0,1959.0,1.0,15.0,1325.0,1031.0,1348.0,0.0,0.0
AD,CD2,129.0,0.0,1.0,0.0,1250.0,1.0,15.0,689.0,-256.0,1092.0,0.0,0.0
AD,CD2,130.0,0.0,1.0,0.0,814.0,1.0,15.0,445.0,-312.0,780.0,0.0,0.0
AD,CD2,131.0,0.0,1.0,0.0,0.0,1.0,16.0,466.0,-335.0,445.0,0.0,0.0
AD,CD2,132.0,1.0,0.0,1.0,426.0,0.0,0.0,420.0,-113.0,1067.0,735.0,420.0
AD,CD2,133.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,1113.0,1558.0,0.0,0.0
