subj_id,latency,condition_str
EB2,290.0,ND
EB2,305.0,SD
EB2,380.0,AD
EB2,424.0,ND
EB2,370.0,SD
EB2,285.0,AD
EB2,262.0,ND
EB2,310.0,SD
EB2,351.0,AD
EB2,286.0,ND
EB2,421.0,SD
EB2,256.0,AD
EB2,154.0,ND
EB2,326.0,SD
EB2,285.0,AD
EB2,314.0,ND
EB2,430.0,SD
EB2,335.0,AD
EB2,256.0,ND
EB2,335.0,SD
EB2,390.0,AD
JF,301.0,ND
JF,370.0,SD
JF,370.0,AD
JF,330.0,ND
JF,341.0,SD
JF,275.0,AD
JF,340.0,ND
JF,395.0,SD
JF,405.0,AD
JF,350.0,ND
JF,304.0,SD
JF,250.0,AD
JF,305.0,ND
JF,386.0,SD
JF,411.0,AD
JF,280.0,ND
JF,430.0,SD
JF,255.0,AD
JF,256.0,ND
JF,336.0,SD
JF,340.0,AD
JF,300.0,ND
JF,295.0,SD
JF,305.0,AD
JF,275.0,ND
JF,320.0,SD
JF,440.0,AD
JF,265.0,ND
JF,304.0,SD
JF,370.0,AD
JF,310.0,ND
JF,360.0,SD
JF,301.0,AD
JF,290.0,ND
JF,265.0,SD
JF,290.0,AD
JF,295.0,ND
JF,291.0,SD
JF,361.0,AD
JF,255.0,ND
JF,280.0,SD
JF,340.0,AD
JF,265.0,ND
JF,322.0,SD
JF,416.0,AD
JF,250.0,ND
JF,311.0,SD
JF,350.0,AD
JF,240.0,ND
JF,381.0,SD
JF,335.0,AD
JF,260.0,ND
JF,335.0,SD
JF,389.0,AD
JF,265.0,ND
JF,346.0,SD
JF,335.0,AD
JF,285.0,ND
JF,295.0,SD
JF,315.0,AD
JF,235.0,ND
JF,305.0,SD
JF,365.0,AD
JF,225.0,ND
JF,382.0,SD
JF,115.0,AD
JF,341.0,ND
JF,340.0,SD
JF,190.0,AD
JF,291.0,ND
JF,322.0,SD
JF,375.0,AD
JF,271.0,ND
JF,290.0,SD
JF,350.0,AD
JF,285.0,ND
JF,350.0,SD
JF,300.0,AD
JF,285.0,ND
JF,270.0,SD
JF,315.0,AD
JF,301.0,ND
JF,360.0,SD
JF,370.0,AD
JF,255.0,ND
JF,395.0,SD
JF,369.0,AD
JF,250.0,ND
JF,304.0,SD
JF,290.0,AD
JF,271.0,ND
JF,430.0,SD
JF,280.0,AD
JF,250.0,ND
JF,295.0,SD
JF,305.0,AD
JF,325.0,ND
JF,304.0,SD
JF,455.0,AD
JF,330.0,ND
JF,360.0,SD
JF,275.0,AD
JF,340.0,ND
JF,270.0,SD
JF,405.0,AD
JF,350.0,ND
JF,311.0,SD
JF,250.0,AD
JF,305.0,ND
JF,269.0,SD
JF,411.0,AD
JF,256.0,ND
JF,291.0,SD
JF,340.0,AD
JF,300.0,ND
JF,280.0,SD
JF,305.0,AD
JF,275.0,ND
JF,322.0,SD
JF,440.0,AD
EW1_,280.0,ND
EW1_,270.0,SD
EW1_,376.0,AD
EW1_,290.0,ND
EW1_,311.0,SD
EW1_,354.0,AD
EW1_,240.0,ND
EW1_,319.0,SD
EW1_,229.0,AD
EW1_,255.0,ND
EW1_,369.0,SD
EW1_,314.0,AD
EW1_,280.0,ND
EW1_,345.0,SD
EW1_,305.0,AD
EW1_,285.0,ND
EW1_,311.0,SD
EW1_,306.0,AD
EW1_,336.0,ND
EW1_,319.0,SD
EW1_,289.0,AD
EW1_,271.0,ND
EW1_,365.0,SD
EW1_,275.0,AD
EW1_,290.0,ND
EW1_,336.0,SD
EW1_,310.0,AD
EW1_,310.0,ND
EW1_,310.0,SD
EW1_,300.0,AD
EW1_,325.0,ND
EW1_,310.0,SD
EW1_,340.0,AD
EW1_,171.0,ND
EW1_,354.0,SD
EW1_,391.0,AD
EW1_,296.0,ND
EW1_,361.0,SD
EW1_,350.0,AD
EW1_,294.0,ND
EW1_,350.0,SD
EW1_,325.0,AD
EW1_,320.0,ND
EW1_,384.0,SD
EW1_,310.0,AD
EW1_,270.0,ND
EW1_,320.0,SD
EW1_,292.0,AD
EW1_,454.0,ND
EW1_,334.0,SD
EW1_,266.0,AD
EW1_,296.0,ND
EW1_,485.0,SD
